date,covid_month,season,state,tests,cases,hospitalizations,deaths
2020-08-29,8,Summer,NM,5245,136,10,2
2020-08-29,8,Summer,NY,93873,635,0,7
2020-08-29,8,Summer,NC,34871,2585,0,31
2020-08-29,8,Summer,ND,7678,372,1,2
2020-08-29,8,Summer,OH,33313,1216,67,21
2020-08-29,8,Summer,OK,8118,1093,75,11
2020-08-29,8,Summer,OR,8315,293,15,9
2020-08-29,8,Summer,PA,25302,843,0,16
2020-08-29,8,Summer,RI,10238,174,18,1
2020-08-29,8,Summer,SC,9114,1298,167,43
2020-08-29,8,Summer,SD,2395,425,11,2
2020-08-29,8,Summer,TN,21391,1465,0,24
2020-08-29,8,Summer,TX,41073,4762,0,154
2020-08-29,8,Summer,UT,7188,458,16,0
2020-08-29,8,Summer,VT,4918,12,0,0
2020-08-29,8,Summer,VA,16197,1217,52,18
2020-08-29,8,Summer,WA,15607,533,5,15
2020-08-29,8,Summer,WV,6663,143,0,10
2020-08-29,8,Summer,WI,15862,862,39,6
2020-08-29,8,Summer,WY,267,21,0,0
2020-08-29,8,Summer,NA,0,0,0,0
2020-08-29,8,Summer,NA,4207,74,0,0
2020-08-29,8,Summer,NA,534,60,0,0
2020-08-29,8,Summer,NA,2,2,0,0
2020-08-29,8,Summer,NA,260,260,0,4
2020-08-29,8,Summer,NA,453,43,0,0
2020-08-30,8,Summer,AL,5070,1346,0,10
2020-08-30,8,Summer,AK,1144,43,1,0
2020-08-30,8,Summer,AZ,6351,374,-12,23
2020-08-30,8,Summer,AR,5717,478,40,12
2020-08-30,8,Summer,CA,122199,6070,0,71
2020-08-30,8,Summer,CO,7851,182,17,0
2020-08-30,8,Summer,CT,8204,0,0,0
2020-08-30,8,Summer,DE,4223,-6,0,0
2020-08-30,8,Summer,FL,51890,2547,96,14
2020-08-30,8,Summer,GA,15311,1215,39,28
2020-08-30,8,Summer,HI,5310,309,12,3
2020-08-30,8,Summer,ID,3268,293,16,5
2020-08-30,8,Summer,IL,43693,1992,0,11
2020-08-30,8,Summer,IN,7068,879,4,6
2020-08-30,8,Summer,IA,4516,971,0,5
2020-08-30,8,Summer,KS,0,0,0,0
2020-08-30,8,Summer,KY,0,455,0,9
2020-08-30,8,Summer,LA,40272,1624,0,27
2020-08-30,8,Summer,ME,4211,23,2,0
2020-08-30,8,Summer,MD,25105,497,38,6
2020-08-30,8,Summer,MA,32895,199,3,13
